GEO_ID,NAME,Total Population Poverty Status,Total Population under 18 Poverty Status
17001,"Adams County, Illinois",64573,14756
17003,"Alexander County, Illinois",5364,1226
17005,"Bond County, Illinois",14807,3089
17007,"Boone County, Illinois",52988,12930
17009,"Brown County, Illinois",4437,1071
17011,"Bureau County, Illinois",32845,7007
17013,"Calhoun County, Illinois",4421,894
17015,"Carroll County, Illinois",14712,2995
17017,"Cass County, Illinois",12919,3179
17019,"Champaign County, Illinois",191377,38729
17021,"Christian County, Illinois",32222,7086
17023,"Clark County, Illinois",15311,3556
17025,"Clay County, Illinois",13089,2995
17027,"Clinton County, Illinois",34885,7734
17029,"Coles County, Illinois",43948,8457
17031,"Cook County, Illinois",5179874,1137989
17033,"Crawford County, Illinois",16656,3565
17035,"Cumberland County, Illinois",10346,2338
17037,"DeKalb County, Illinois",96616,21624
17039,"De Witt County, Illinois",15373,3320
17041,"Douglas County, Illinois",19352,4708
17043,"DuPage County, Illinois",921231,211217
17045,"Edgar County, Illinois",16675,3367
17047,"Edwards County, Illinois",6186,1393
17049,"Effingham County, Illinois",34019,8136
17051,"Fayette County, Illinois",20015,4438
17053,"Ford County, Illinois",13161,3079
17055,"Franklin County, Illinois",37289,8190
17057,"Fulton County, Illinois",31593,6641
17059,"Gallatin County, Illinois",5035,1002
17061,"Greene County, Illinois",11868,2588
17063,"Grundy County, Illinois",51791,12983
17065,"Hamilton County, Illinois",7929,1724
17067,"Hancock County, Illinois",17517,3652
17069,"Hardin County, Illinois",3623,499
17071,"Henderson County, Illinois",6428,1189
17073,"Henry County, Illinois",48520,10761
17075,"Iroquois County, Illinois",26673,5696
17077,"Jackson County, Illinois",50045,9900
17079,"Jasper County, Illinois",9244,2127
17081,"Jefferson County, Illinois",35312,8203
17083,"Jersey County, Illinois",20525,4243
17085,"Jo Daviess County, Illinois",21795,4120
17087,"Johnson County, Illinois",10924,2438
17089,"Kane County, Illinois",512156,129136
17091,"Kankakee County, Illinois",103860,24252
17093,"Kendall County, Illinois",130219,36898
17095,"Knox County, Illinois",45947,9917
17097,"Lake County, Illinois",696696,171143
17099,"LaSalle County, Illinois",106416,23099
17101,"Lawrence County, Illinois",13070,2862
17103,"Lee County, Illinois",31228,6722
17105,"Livingston County, Illinois",33768,7751
17107,"Logan County, Illinois",24372,5314
17109,"McDonough County, Illinois",24703,4720
17111,"McHenry County, Illinois",308380,71939
17113,"McLean County, Illinois",162474,36264
17115,"Macon County, Illinois",100876,23047
17117,"Macoupin County, Illinois",44214,9414
17119,"Madison County, Illinois",260362,57537
17121,"Marion County, Illinois",36567,8393
17123,"Marshall County, Illinois",11315,2218
17125,"Mason County, Illinois",13047,2750
17127,"Massac County, Illinois",13961,3041
17129,"Menard County, Illinois",12194,2793
17131,"Mercer County, Illinois",15545,3342
17133,"Monroe County, Illinois",34390,7644
17135,"Montgomery County, Illinois",25554,5732
17137,"Morgan County, Illinois",30400,6208
17139,"Moultrie County, Illinois",14344,3717
17141,"Ogle County, Illinois",50984,11389
17143,"Peoria County, Illinois",177425,43041
17145,"Perry County, Illinois",18496,3986
17147,"Piatt County, Illinois",16600,3713
17149,"Pike County, Illinois",14403,3274
17151,"Pope County, Illinois",3609,622
17153,"Pulaski County, Illinois",5218,1075
17155,"Putnam County, Illinois",5628,1148
17157,"Randolph County, Illinois",27029,5853
17159,"Richland County, Illinois",15542,3611
17161,"Rock Island County, Illinois",139680,32134
17163,"St. Clair County, Illinois",254013,59875
17165,"Saline County, Illinois",23335,5018
17167,"Sangamon County, Illinois",192932,43011
17169,"Schuyler County, Illinois",6882,1208
17171,"Scott County, Illinois",4861,1062
17173,"Shelby County, Illinois",20977,4580
17175,"Stark County, Illinois",5308,1120
17177,"Stephenson County, Illinois",44079,9547
17179,"Tazewell County, Illinois",129305,29740
17181,"Union County, Illinois",17000,3597
17183,"Vermilion County, Illinois",71696,16964
17185,"Wabash County, Illinois",11290,2506
17187,"Warren County, Illinois",15794,3640
17189,"Washington County, Illinois",13589,2836
17191,"Wayne County, Illinois",16200,3685
17193,"White County, Illinois",13494,2907
17195,"Whiteside County, Illinois",54818,12144
17197,"Will County, Illinois",686328,170248
17199,"Williamson County, Illinois",64782,14278
17201,"Winnebago County, Illinois",280951,66038
17203,"Woodford County, Illinois",37472,9190
